ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x1B,tension_0x2B,enc_deg
0,20.0,95.0,816,0.996,2.5,821,1.002,3.4,,,0.000
50,20.0,95.0,816,0.996,2.5,821,1.002,3.4,,,0.000
100,20.1,95.0,816,0.996,2.5,821,1.002,3.4,,,0.000
150,20.2,95.0,816,0.996,2.5,821,1.002,3.4,,,0.000
200,20.3,95.0,1485,1.813,124.4,1748,2.134,172.3,2.17261,2.42641,0.000
250,20.5,95.0,1485,1.813,124.4,1748,2.134,172.3,2.17261,2.42641,0.000
300,20.7,95.0,1485,1.813,124.4,1748,2.134,172.3,2.17261,2.42641,0.000
350,21.0,95.0,1485,1.813,124.4,1748,2.134,172.3,2.17261,2.42641,0.088
400,21.3,95.0,1513,1.847,129.5,2104,2.569,237.2,2.17248,2.42614,0.088
450,21.6,95.0,1513,1.847,129.5,2104,2.569,237.2,2.17248,2.42614,0.088
500,22.0,95.0,1513,1.847,129.5,2104,2.569,237.2,2.17248,2.42614,6.504
550,22.4,95.0,1513,1.847,129.5,2104,2.569,237.2,2.17248,2.42614,6.504
600,22.8,95.0,1562,1.907,138.4,2444,2.984,299.1,2.18499,2.42544,13.447
650,23.3,95.0,1562,1.907,138.4,2444,2.984,299.1,2.18499,2.42544,13.447
700,23.8,95.0,1562,1.907,138.4,2444,2.984,299.1,2.18499,2.42544,13.447
750,24.4,95.0,1562,1.907,138.4,2444,2.984,299.1,2.18499,2.42544,16.260
800,24.9,95.0,1562,1.907,138.4,2444,2.984,299.1,2.18499,2.42544,16.260
850,25.6,94.4,1633,1.994,151.3,2905,3.547,383.1,2.31779,2.47821,16.260
900,26.2,93.8,1633,1.994,151.3,2905,3.547,383.1,2.31779,2.47821,19.688
950,26.9,93.1,1633,1.994,151.3,2905,3.547,383.1,2.31779,2.47821,19.688
1000,27.6,92.4,1633,1.994,151.3,2905,3.547,383.1,2.31779,2.47821,20.742
1050,28.4,91.6,1731,2.114,169.2,3248,3.966,445.6,2.41853,2.53347,20.742
1100,29.2,90.8,1731,2.114,169.2,3248,3.966,445.6,2.41853,2.53347,20.742
1150,30.0,90.0,1731,2.114,169.2,3248,3.966,445.6,2.41853,2.53347,21.006
1200,30.8,89.2,1731,2.114,169.2,3248,3.966,445.6,2.41853,2.53347,21.006
1250,31.7,88.3,1824,2.227,186.1,3539,4.321,498.7,2.54375,2.56509,21.182
1300,32.6,87.4,1824,2.227,186.1,3539,4.321,498.7,2.54375,2.56509,21.182
1350,33.5,86.5,1824,2.227,186.1,3539,4.321,498.7,2.54375,2.56509,21.182
1400,34.5,85.5,1824,2.227,186.1,3539,4.321,498.7,2.54375,2.56509,20.830
1450,35.5,84.5,1824,2.227,186.1,3539,4.321,498.7,2.54375,2.56509,20.830
1500,36.5,83.5,1992,2.432,216.8,3643,4.448,517.6,2.61238,2.59083,19.512
1550,37.5,82.5,1992,2.432,216.8,3643,4.448,517.6,2.61238,2.59083,19.512
1600,38.6,81.4,1992,2.432,216.8,3643,4.448,517.6,2.61238,2.59083,19.512
