ms,valve_a_pct,valve_b_pct,enc_deg
0,20.0,100.0,0.176
50,20.0,100.0,0.439
100,20.0,100.0,0.703
150,20.0,100.0,0.967
200,20.0,100.0,1.143
250,20.0,100.0,1.406
300,20.0,100.0,1.582
350,20.0,100.0,1.670
400,20.0,100.0,1.670
450,20.0,100.0,1.758
500,20.0,100.0,1.758
550,20.0,100.0,1.846
600,20.0,100.0,1.846
650,20.8,99.2,1.670
700,21.7,98.3,1.494
750,22.5,97.5,1.230
800,23.3,96.7,0.967
850,24.2,95.8,0.791
900,25.0,95.0,0.615
950,25.8,94.2,0.527
1000,26.7,93.3,0.352
1050,27.5,92.5,0.264
1100,28.3,91.7,0.264
1150,29.2,90.8,0.264
1200,30.0,90.0,0.264
1250,30.8,89.2,0.264
1300,31.7,88.3,0.264
1350,32.5,87.5,0.264
1400,33.3,86.7,0.264
1450,34.2,85.8,0.176
1500,35.0,85.0,0.264
1550,35.8,84.2,0.352
1600,36.7,83.3,0.439
1650,37.5,82.5,0.527
1700,38.3,81.7,0.527
1750,39.2,80.8,0.615
1800,40.0,80.0,0.615
1850,40.8,79.2,0.615
1900,41.7,78.3,0.615
1950,42.5,77.5,0.703
2000,43.3,76.7,0.703
2050,44.2,75.8,0.703
2100,45.0,75.0,0.703
2150,45.8,74.2,0.703
2200,46.7,73.3,0.703
2250,47.5,72.5,0.703
2300,48.3,71.7,0.703
2350,49.2,70.8,0.703
2400,50.0,70.0,0.703
2450,50.8,69.2,0.703
2500,51.7,68.3,0.703
2550,52.5,67.5,0.703
2600,53.3,66.7,0.703
2650,54.2,65.8,0.703
2700,55.0,65.0,0.703
2750,55.8,64.2,0.703
2800,56.7,63.3,0.703
2850,57.5,62.5,0.703
2900,58.3,61.7,0.703
2950,59.2,60.8,0.703
3000,60.0,60.0,0.703
3050,60.8,59.2,0.703
3100,61.7,58.3,0.703
3150,62.5,57.5,0.703
3200,63.3,56.7,0.703
3250,64.2,55.8,0.703
3300,65.0,55.0,0.703
3350,65.8,54.2,0.703
3400,66.7,53.3,0.703
3450,67.5,52.5,0.703
