ms,valve_a_pct,valve_b_pct,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,20.0,100.0,834,1.018,5.7,823,1.005,3.7,,,0.000
50,20.0,100.0,834,1.018,5.7,823,1.005,3.7,,,0.000
100,20.1,99.9,834,1.018,5.7,823,1.005,3.7,,,0.000
150,20.2,99.8,834,1.018,5.7,823,1.005,3.7,,,0.000
200,20.3,99.7,1488,1.817,124.9,1674,2.044,158.8,2.19659,2.26696,0.000
250,20.5,99.5,1488,1.817,124.9,1674,2.044,158.8,2.19659,2.26696,0.000
300,20.7,99.3,1488,1.817,124.9,1674,2.044,158.8,2.19659,2.26696,0.000
350,21.0,99.0,1488,1.817,124.9,1674,2.044,158.8,2.19659,2.26696,0.000
400,21.3,98.7,1504,1.836,127.8,2031,2.480,223.9,2.19692,2.26761,0.088
450,21.6,98.4,1504,1.836,127.8,2031,2.480,223.9,2.19692,2.26761,0.088
500,22.0,98.0,1504,1.836,127.8,2031,2.480,223.9,2.19692,2.26761,1.494
550,22.4,97.6,1504,1.836,127.8,2031,2.480,223.9,2.19692,2.26761,1.494
600,22.8,97.2,1504,1.836,127.8,2031,2.480,223.9,2.19692,2.26761,1.494
650,23.3,96.7,1575,1.923,140.8,2464,3.009,302.8,2.19682,2.26696,6.768
700,23.8,96.2,1575,1.923,140.8,2464,3.009,302.8,2.19682,2.26696,6.768
750,24.4,95.6,1575,1.923,140.8,2464,3.009,302.8,2.19682,2.26696,6.768
800,24.9,95.1,1575,1.923,140.8,2464,3.009,302.8,2.19682,2.26696,10.371
850,25.6,94.4,1575,1.923,140.8,2464,3.009,302.8,2.19682,2.26696,10.371
900,26.2,93.8,1655,2.021,155.3,2867,3.501,376.2,2.19725,2.26705,12.305
950,26.9,93.1,1655,2.021,155.3,2867,3.501,376.2,2.19725,2.26705,12.305
1000,27.6,92.4,1655,2.021,155.3,2867,3.501,376.2,2.19725,2.26705,12.305
1050,28.4,91.6,1655,2.021,155.3,2867,3.501,376.2,2.19725,2.26705,13.535
1100,29.2,90.8,1655,2.021,155.3,2867,3.501,376.2,2.19725,2.26705,13.535
1150,30.0,90.0,1775,2.167,177.2,3227,3.940,441.8,2.19772,2.26740,13.535
1200,30.8,89.2,1775,2.167,177.2,3227,3.940,441.8,2.19772,2.26740,13.799
1250,31.7,88.3,1775,2.167,177.2,3227,3.940,441.8,2.19772,2.26740,13.799
1300,32.6,87.4,1775,2.167,177.2,3227,3.940,441.8,2.19772,2.26740,13.623
1350,33.6,86.4,1891,2.309,198.4,3452,4.215,482.8,2.31441,2.26766,13.623
1400,34.5,85.5,1891,2.309,198.4,3452,4.215,482.8,2.31441,2.26766,13.623
1450,35.5,84.5,1891,2.309,198.4,3452,4.215,482.8,2.31441,2.26766,12.656
1500,36.5,83.5,1891,2.309,198.4,3452,4.215,482.8,2.31441,2.26766,12.656
1550,37.5,82.5,1891,2.309,198.4,3452,4.215,482.8,2.31441,2.26766,12.656
1600,38.6,81.4,2053,2.507,227.9,3557,4.343,502.0,2.48626,2.36847,10.371
1650,39.6,80.4,2053,2.507,227.9,3557,4.343,502.0,2.48626,2.36847,10.371
1700,40.7,79.3,2053,2.507,227.9,3557,4.343,502.0,2.48626,2.36847,8.438
1750,41.8,78.2,2053,2.507,227.9,3557,4.343,502.0,2.48626,2.36847,8.438
1800,43.0,77.0,2053,2.507,227.9,3557,4.343,502.0,2.48626,2.36847,8.438
1850,44.1,75.9,2233,2.726,260.7,3336,4.073,461.7,2.53418,2.49141,3.340
1900,45.3,74.7,2233,2.726,260.7,3336,4.073,461.7,2.53418,2.49141,3.340
1950,46.5,73.5,2233,2.726,260.7,3336,4.073,461.7,2.53418,2.49141,0.703
2000,47.6,72.4,2233,2.726,260.7,3336,4.073,461.7,2.53418,2.49141,0.703
2050,48.8,71.2,2385,2.912,288.4,3178,3.880,432.9,2.56598,2.55102,0.703
2100,50.1,69.9,2385,2.912,288.4,3178,3.880,432.9,2.56598,2.55102,-3.604
2150,51.3,68.7,2385,2.912,288.4,3178,3.880,432.9,2.56598,2.55102,-3.604
2200,52.5,67.5,2385,2.912,288.4,3178,3.880,432.9,2.56598,2.55102,-6.680
2250,53.7,66.3,2546,3.109,317.7,3017,3.684,403.6,2.59336,2.59543,-6.680
2300,55.0,65.0,2546,3.109,317.7,3017,3.684,403.6,2.59336,2.59543,-6.680
2350,56.2,63.8,2546,3.109,317.7,3017,3.684,403.6,2.59336,2.59543,-11.162
2400,57.5,62.5,2546,3.109,317.7,3017,3.684,403.6,2.59336,2.59543,-11.162
2450,58.7,61.3,2546,3.109,317.7,3017,3.684,403.6,2.59336,2.59543,-11.162
2500,60.0,60.0,2749,3.357,354.7,2810,3.431,365.8,2.60736,2.61344,-15.820
2550,61.3,58.7,2749,3.357,354.7,2810,3.431,365.8,2.60736,2.61344,-15.820
2600,62.5,57.5,2749,3.357,354.7,2810,3.431,365.8,2.60736,2.61344,-18.896
2650,63.8,56.2,2749,3.357,354.7,2810,3.431,365.8,2.60736,2.61344,-18.896
2700,65.0,55.0,2910,3.553,384.1,2654,3.241,337.4,2.60490,2.61412,-22.148
2750,66.3,53.7,2910,3.553,384.1,2654,3.241,337.4,2.60490,2.61412,-22.148
2800,67.5,52.5,2910,3.553,384.1,2654,3.241,337.4,2.60490,2.61412,-22.148
2850,68.7,51.3,2910,3.553,384.1,2654,3.241,337.4,2.60490,2.61412,-26.807
2900,70.0,50.0,2910,3.553,384.1,2654,3.241,337.4,2.60490,2.61412,-26.807
2950,71.2,48.8,3120,3.810,422.3,2445,2.985,299.3,2.58006,2.59407,-29.971
3000,72.4,47.6,3120,3.810,422.3,2445,2.985,299.3,2.58006,2.59407,-29.971
3050,73.6,46.4,3120,3.810,422.3,2445,2.985,299.3,2.58006,2.59407,-32.871
3100,74.7,45.3,3120,3.810,422.3,2445,2.985,299.3,2.58006,2.59407,-32.871
3150,75.9,44.1,3272,3.995,450.0,2292,2.799,271.4,2.55731,2.57076,-35.859
3200,77.0,43.0,3272,3.995,450.0,2292,2.799,271.4,2.55731,2.57076,-35.859
3250,78.2,41.8,3272,3.995,450.0,2292,2.799,271.4,2.55731,2.57076,-35.859
3300,79.3,40.7,3272,3.995,450.0,2292,2.799,271.4,2.55731,2.57076,-40.078
3350,80.4,39.6,3272,3.995,450.0,2292,2.799,271.4,2.55731,2.57076,-40.078
3400,81.4,38.6,3457,4.221,483.7,2109,2.575,238.1,2.49074,2.49809,-40.078
