ms,valve_a_pct,valve_b_pct,q_des,pid_u,tension_0x2B,tension_0x2A
0,49.99607936828334,50.00392063171666,-0.079,-0.00784126343331349,2.604266536803634,2.5981121654705146,0.0
33,50.0027548182153,49.9972451817847,-0.07784499999609155,0.005509636430608618,2.6048174497757857,2.5732719999866633,0.0
67,50.01341883826217,49.98658116173783,0.01177556659391505,0.026837676524331902,2.5494353980099933,2.5732719999866633,0.0
100,50.01117249629187,49.98882750370813,0.097,0.022344992583744845,2.4467256869010177,2.43593962407815,0.0
134,50.00500101128232,49.99499898871768,0.097,0.01000202256463738,2.4467256869010177,2.2882292992162685,0.0
167,50.0114215957302,49.9885784042698,0.09893756588958613,0.02284319146040057,2.3414625307810626,2.272485600806722,0.0
200,50.01592665385273,49.98407334614727,0.185,0.031853307705462824,2.309907844168564,2.272485600806722,0.0
233,50.0097048855426,49.9902951144574,0.185,0.019409771085191187,2.3078838034284104,2.2719338140755325,0.0
267,50.00971857875494,49.99028142124506,0.185,0.0194371575098895,2.3078838034284104,2.2721221865683674,0.0
300,50.00984191208826,49.99015808791174,0.185,0.0196838241765315,2.308348524522338,2.272130108744956,0.0
333,50.01004645265634,49.98995354734366,0.185,0.020092905312674353,2.3082192091802645,2.272130108744956,0.0
367,50.016561752711134,49.983438247288866,0.18695713811986808,0.03312350542226271,2.3087205456626347,2.2728340663075293,0.0
400,50.021028934944354,49.978971065055646,0.273,0.04205786988871035,2.3087205456626347,2.2724216270533657,0.0
433,50.01468874212653,49.98531125787347,0.273,0.029377484253067184,2.3094277291486107,2.272730800281503,0.0
467,50.001643196793665,49.998356803206335,0.2691164719886422,0.0032863935873247117,2.3088557507343612,2.272730800281503,0.0
500,49.97322303770821,50.02677696229179,0.09662992797372863,-0.053553924583585835,2.309198530310404,2.273338026221207,0.0
533,49.952738004277805,50.047261995722195,-0.17034398125712633,-0.0945239914443915,2.309198530310404,2.2731006557273856,0.0
567,49.926908932631115,50.073091067368885,-0.440793523567024,-0.14618213473777353,2.3095355360257184,2.272197798443141,0.0
600,49.90483786645659,50.09516213354341,-0.8706067569657966,-0.19032426708682232,2.309542818933022,2.272197798443141,0.0
633,49.89043304976416,50.10956695023584,-1.1384733800400828,-0.2191339004716817,2.309592009307391,2.273680506828313,0.0
667,49.84791381862775,50.15208618137225,-1.5698825223822799,-0.30417236274449433,2.309592009307391,2.2725415363565578,0.0
700,49.81233800960697,50.18766199039303,-2.101334763292372,-0.37532398078606655,2.3095215672671303,2.2719880983651572,0.0
