ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
0,0.0,0.0,,,1263,1.542,83.9,802,0.979,-0.1,,,-0.079
33,0.0,0.0,,,1216,1.485,75.3,671,0.819,-24.0,,,-0.079
66,0.0,0.0,,,1174,1.433,67.7,617,0.753,-33.8,,,0.009
100,0.0,0.0,,,1136,1.387,60.8,578,0.706,-40.9,,,0.097
133,0.0,0.0,,,1095,1.337,53.3,551,0.673,-45.8,,,0.097
166,0.0,0.0,,,1059,1.293,46.7,533,0.651,-49.1,,,0.097
200,0.0,0.0,,,1020,1.245,39.6,511,0.624,-53.1,2.20157,2.27293,0.185
234,0.0,0.0,,,993,1.212,34.7,491,0.600,-56.8,2.20157,2.27293,0.185
266,0.0,0.0,,,959,1.171,28.5,482,0.589,-58.4,2.20157,2.27293,0.185
300,0.0,0.0,,,935,1.142,24.1,465,0.568,-61.5,2.20157,2.27293,0.185
333,0.0,0.0,,,906,1.106,18.9,457,0.558,-63.0,2.20157,2.27293,0.185
366,0.0,0.0,,,891,1.088,16.1,446,0.545,-65.0,2.20157,2.27293,0.185
400,0.0,0.0,,,872,1.065,12.7,436,0.532,-66.8,2.20215,2.27249,0.273
433,0.0,0.0,,,850,1.038,8.6,425,0.519,-68.8,2.20215,2.27249,0.273
466,0.0,0.0,,,846,1.033,7.9,419,0.512,-69.9,2.20215,2.27249,0.273
500,0.0,0.0,,,838,1.023,6.5,419,0.512,-69.9,2.20215,2.27249,0.097
533,0.0,0.0,,,834,1.018,5.7,421,0.514,-69.5,2.20215,2.27249,-0.167
566,0.0,0.0,,,830,1.013,5.0,417,0.509,-70.3,2.20215,2.27249,-0.430
600,0.0,0.0,,,831,1.015,5.2,421,0.514,-69.5,2.20185,2.27210,-0.870
633,0.0,0.0,,,832,1.016,5.4,417,0.509,-70.3,2.20185,2.27210,-1.133
667,0.0,0.0,,,825,1.007,4.1,412,0.503,-71.2,2.20185,2.27210,-1.573
700,0.0,0.0,,,830,1.013,5.0,413,0.504,-71.0,2.20185,2.27210,-2.100
733,0.0,0.0,,,831,1.015,5.2,415,0.507,-70.6,2.20185,2.27210,-2.627
766,0.0,0.0,,,828,1.011,4.6,412,0.503,-71.2,2.20185,2.27210,-3.155
800,0.0,0.0,,,829,1.012,4.8,417,0.509,-70.3,2.20185,2.27210,-3.770
833,0.0,0.0,,,827,1.010,4.5,418,0.510,-70.1,2.20209,2.27276,-4.122
866,0.0,0.0,,,827,1.010,4.5,419,0.512,-69.9,2.20209,2.27276,-4.473
900,0.0,0.0,,,824,1.006,3.9,411,0.502,-71.4,2.20209,2.27276,-4.825
933,0.0,0.0,,,822,1.004,3.5,410,0.501,-71.5,2.20209,2.27276,-5.088
966,0.0,0.0,,,824,1.006,3.9,408,0.498,-71.9,2.20209,2.27276,-5.264
1000,0.0,0.0,,,822,1.004,3.5,409,0.499,-71.7,2.20209,2.27276,-5.528
1033,0.0,0.0,,,824,1.006,3.9,408,0.498,-71.9,2.20136,2.27289,-5.792
1066,0.0,0.0,,,824,1.006,3.9,409,0.499,-71.7,2.20136,2.27289,-6.055
1100,0.0,0.0,,,826,1.009,4.3,411,0.502,-71.4,2.20136,2.27289,-6.407
1133,0.0,0.0,,,827,1.010,4.5,413,0.504,-71.0,2.20136,2.27289,-6.758
1166,0.0,0.0,,,828,1.011,4.6,410,0.501,-71.5,2.20136,2.27289,-7.110
1200,0.0,0.0,,,823,1.005,3.7,407,0.497,-72.1,2.20136,2.27289,-7.374
1233,0.0,0.0,,,825,1.007,4.1,411,0.502,-71.4,2.20136,2.27289,-7.637
1266,0.0,0.0,,,826,1.009,4.3,409,0.499,-71.7,2.20180,2.27272,-7.725
1300,0.0,0.0,,,821,1.002,3.4,406,0.496,-72.3,2.20180,2.27272,-7.725
1333,0.0,0.0,,,824,1.006,3.9,404,0.493,-72.6,2.20180,2.27272,-7.725
1366,0.0,0.0,,,828,1.011,4.6,412,0.503,-71.2,2.20180,2.27272,-7.637
1400,0.0,0.0,,,824,1.006,3.9,407,0.497,-72.1,2.20180,2.27272,-7.549
1433,0.0,0.0,,,823,1.005,3.7,406,0.496,-72.3,2.20180,2.27272,-7.461
1466,0.0,0.0,,,827,1.010,4.5,414,0.505,-70.8,2.20162,2.27268,-7.286
1500,0.0,0.0,,,822,1.004,3.5,407,0.497,-72.1,2.20162,2.27268,-7.198
1533,0.0,0.0,,,827,1.010,4.5,411,0.502,-71.4,2.20162,2.27268,-7.022
1566,0.0,0.0,,,825,1.007,4.1,411,0.502,-71.4,2.20162,2.27268,-6.758
1600,0.0,0.0,,,829,1.012,4.8,411,0.502,-71.4,2.20162,2.27268,-6.407
1633,0.0,0.0,,,824,1.006,3.9,408,0.498,-71.9,2.20162,2.27268,-5.792
1667,0.0,0.0,,,824,1.006,3.9,408,0.498,-71.9,2.20231,2.27283,-5.176
1700,0.0,0.0,,,825,1.007,4.1,410,0.501,-71.5,2.20231,2.27283,-4.649
1733,0.0,0.0,,,825,1.007,4.1,410,0.501,-71.5,2.20231,2.27283,-3.946
1766,0.0,0.0,,,825,1.007,4.1,410,0.501,-71.5,2.20231,2.27283,-3.331
1800,0.0,0.0,,,822,1.004,3.5,407,0.497,-72.1,2.20231,2.27283,-2.803
1833,0.0,0.0,,,826,1.009,4.3,410,0.501,-71.5,2.20231,2.27283,-2.276
1866,0.0,0.0,,,831,1.015,5.2,418,0.510,-70.1,2.20231,2.27283,-1.924
1900,0.0,0.0,,,824,1.006,3.9,406,0.496,-72.3,2.20158,2.27293,-1.661
1933,0.0,0.0,,,825,1.007,4.1,409,0.499,-71.7,2.20158,2.27293,-1.309
1966,0.0,0.0,,,824,1.006,3.9,407,0.497,-72.1,2.20158,2.27293,-0.870
2000,0.0,0.0,,,824,1.006,3.9,405,0.495,-72.4,2.20158,2.27293,-0.430
2033,0.0,0.0,,,824,1.006,3.9,405,0.495,-72.4,2.20158,2.27293,0.185
2066,0.0,0.0,,,824,1.006,3.9,404,0.493,-72.6,2.20158,2.27293,0.712
2100,0.0,0.0,,,824,1.006,3.9,403,0.492,-72.8,2.20160,2.27281,1.591
2133,0.0,0.0,,,827,1.010,4.5,408,0.498,-71.9,2.20160,2.27281,2.294
2166,0.0,0.0,,,824,1.006,3.9,408,0.498,-71.9,2.20160,2.27281,2.910
2200,0.0,0.0,,,825,1.007,4.1,409,0.499,-71.7,2.20160,2.27281,3.525
2233,0.0,0.0,,,827,1.010,4.5,413,0.504,-71.0,2.20160,2.27281,4.052
2266,0.0,0.0,,,826,1.009,4.3,412,0.503,-71.2,2.20160,2.27281,4.580
2300,0.0,0.0,,,833,1.017,5.6,399,0.487,-73.5,2.20160,2.27281,5.107
2333,0.0,0.0,,,827,1.010,4.5,412,0.503,-71.2,2.20162,2.27285,5.810
2366,0.0,0.0,,,820,1.001,3.2,403,0.492,-72.8,2.20162,2.27285,6.337
2400,0.0,0.0,,,826,1.009,4.3,406,0.496,-72.3,2.20162,2.27285,6.953
2433,0.0,0.0,,,827,1.010,4.5,413,0.504,-71.0,2.20162,2.27285,7.744
2466,0.0,0.0,,,825,1.007,4.1,408,0.498,-71.9,2.20162,2.27285,8.623
2500,0.0,0.0,,,827,1.010,4.5,411,0.502,-71.4,2.20162,2.27285,9.414
2533,0.0,0.0,,,827,1.010,4.5,409,0.499,-71.7,2.20178,2.27277,9.941
2566,0.0,0.0,,,827,1.010,4.5,412,0.503,-71.2,2.20178,2.27277,10.380
2600,0.0,0.0,,,822,1.004,3.5,408,0.498,-71.9,2.20178,2.27277,10.732
2633,0.0,0.0,,,827,1.010,4.5,412,0.503,-71.2,2.20178,2.27277,11.083
2666,0.0,0.0,,,826,1.009,4.3,406,0.496,-72.3,2.20178,2.27277,11.259
2700,0.0,0.0,,,823,1.005,3.7,410,0.501,-71.5,2.20178,2.27277,11.523
2733,0.0,0.0,,,822,1.004,3.5,405,0.495,-72.4,2.20178,2.27277,11.874
2766,0.0,0.0,,,829,1.012,4.8,410,0.501,-71.5,2.20151,2.27246,12.314
2800,0.0,0.0,,,827,1.010,4.5,411,0.502,-71.4,2.20151,2.27246,12.929
2833,0.0,0.0,,,820,1.001,3.2,404,0.493,-72.6,2.20151,2.27246,13.544
2866,0.0,0.0,,,825,1.007,4.1,408,0.498,-71.9,2.20151,2.27246,14.248
2900,0.0,0.0,,,827,1.010,4.5,410,0.501,-71.5,2.20151,2.27246,14.687
2933,0.0,0.0,,,822,1.004,3.5,402,0.491,-73.0,2.20151,2.27246,14.951
2966,0.0,0.0,,,822,1.004,3.5,403,0.492,-72.8,2.20188,2.27294,15.302
3000,0.0,0.0,,,825,1.007,4.1,410,0.501,-71.5,2.20188,2.27294,15.478
3033,0.0,0.0,,,820,1.001,3.2,403,0.492,-72.8,2.20188,2.27294,15.654
3066,0.0,0.0,,,827,1.010,4.5,414,0.505,-70.8,2.20188,2.27294,15.917
3100,0.0,0.0,,,822,1.004,3.5,404,0.493,-72.6,2.20188,2.27294,16.269
3133,0.0,0.0,,,830,1.013,5.0,408,0.498,-71.9,2.20188,2.27294,16.884
3166,0.0,0.0,,,822,1.004,3.5,407,0.497,-72.1,2.20188,2.27294,17.587
3200,0.0,0.0,,,829,1.012,4.8,414,0.505,-70.8,2.20184,2.27230,18.378
3233,0.0,0.0,,,828,1.011,4.6,407,0.497,-72.1,2.20184,2.27230,19.082
3266,0.0,0.0,,,828,1.011,4.6,408,0.498,-71.9,2.20184,2.27230,19.697
3300,0.0,0.0,,,830,1.013,5.0,409,0.499,-71.7,2.20184,2.27230,20.136
3333,0.0,0.0,,,827,1.010,4.5,408,0.498,-71.9,2.20184,2.27230,20.224
3366,0.0,0.0,,,823,1.005,3.7,408,0.498,-71.9,2.20184,2.27230,20.224
3400,0.0,0.0,,,824,1.006,3.9,400,0.488,-73.4,2.20184,2.27230,20.224
3433,0.0,0.0,,,829,1.012,4.8,412,0.503,-71.2,2.20199,2.27284,20.224
3466,0.0,0.0,,,829,1.012,4.8,412,0.503,-71.2,2.20199,2.27284,20.224
3501,0.0,0.0,,,829,1.012,4.8,411,0.502,-71.4,2.20199,2.27284,20.488
