ms,valve_a_pct,valve_b_pct,q_des_csv,qdes,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
1,47.475920217897325,73.83013066955819,12.362313699744082,-21.16937458650437,-21.16937458650437,,2794,3.411477411477412,362.91300366300374,2783,3.3980463980463984,360.90842490842493,2.759864223307486,2.7228305655182274,0.0
33,55.12861683830004,65.57163554121132,12.362313699744082,-14.005832806861957,-14.005832806861957,,2720,3.321123321123321,349.4276556776556,2834,3.4603174603174605,370.20238095238096,2.7747343429413296,2.708370479395856,-0.087890625
67,53.74901602660247,67.7597739295174,12.362313699744082,-13.090755698047065,-13.090755698047065,,2674,3.264957264957265,341.04487179487177,2882,3.5189255189255193,378.94963369963375,2.7747343429413296,2.708370479395856,-3.251953125
100,54.75374542632985,66.66709456897503,12.362313699744082,-13.51706542910252,-13.51706542910252,,2642,3.225885225885226,335.21336996337,2939,3.5885225885225887,389.3369963369964,2.7492010705297876,2.72615865370106,-5.9765625
133,57.5523098235454,63.26666414226627,12.362313699744082,-11.991856131571286,-11.991856131571286,,2629,3.21001221001221,332.8443223443224,2984,3.6434676434676434,397.53754578754575,2.7581245114037287,2.7193421396115847,-6.15234375
167,57.61933003141374,63.455177820767915,12.362313699744082,-12.253912240611651,-12.253912240611651,,2635,3.2173382173382175,333.93772893772893,2972,3.628815628815629,395.35073260073256,2.7605580726472163,2.729964903653817,-7.119140625
200,58.78430901403509,61.92097429100413,12.362313699744082,-11.194080532223587,-11.194080532223587,,2629,3.21001221001221,332.8443223443224,2970,3.6263736263736264,394.9862637362637,2.7605580726472163,2.729964903653817,-6.6796875
233,61.092427902435745,59.54811953648276,12.362313699744082,-10.070109696398802,-10.070109696398802,,2684,3.277167277167277,342.8672161172161,2921,3.5665445665445668,386.0567765567766,2.769054239693486,2.72371966142995,-6.064453125
267,63.84562835899798,56.458708982048414,12.362313699744082,-7.3381144454677285,-7.3381144454677285,,2748,3.355311355311355,354.5302197802197,2832,3.457875457875458,369.8379120879121,2.7428297866171425,2.7400840173400978,-3.955078125
300,65.40925478377665,53.656008895664556,12.362313699744082,-2.818231244016186,-2.818231244016186,,2809,3.42979242979243,365.6465201465202,2761,3.3711843711843716,356.8992673992675,2.763351870183888,2.7234716613924213,-0.17578125
333,68.61514078999448,51.49134722730262,12.362313699744082,-0.22207812162543483,-0.22207812162543483,,2877,3.5128205128205128,378.03846153846155,2668,3.2576312576312576,339.95146520146517,2.763351870183888,2.7234716613924213,1.845703125
367,70.72035934765454,48.902977535506515,12.362313699744082,2.5427907829174536,2.5427907829174536,,2961,3.6153846153846154,393.34615384615387,2596,3.1697191697191696,326.83058608058604,2.7540819917368844,2.7274991977149723,4.130859375
400,71.12517889825,47.99314647660505,12.362313699744082,5.453014338217921,5.453014338217921,,3005,3.669108669108669,401.3644688644688,2536,3.0964590964590966,315.8965201465201,2.7376910327127852,2.730046379106937,6.85546875
433,73.75957660946423,45.94694622446723,12.362313699744082,6.466824049781168,6.466824049781168,,3089,3.7716727716727716,416.67216117216117,2441,2.9804639804639805,298.58424908424905,2.7309127608325183,2.725323917234924,8.525390625
467,74.89873607344914,44.52018764292915,12.362313699744082,5.553324439824132,5.553324439824132,,3156,3.8534798534798536,428.88186813186815,2388,2.915750915750916,288.9258241758242,2.7309127608325183,2.725323917234924,10.283203125
500,73.83833267075512,47.444344285004085,12.362313699744082,2.4883344614044667,2.4883344614044667,,3205,3.913308913308913,437.81135531135527,2314,2.825396825396825,275.44047619047615,2.7026856045440546,2.710636002401104,12.744140625
533,71.0701491117971,50.553352890913686,12.362313699744082,-0.8140484162198547,-0.8140484162198547,,3263,3.9841269841269837,448.38095238095235,2287,2.7924297924297923,270.5201465201465,2.6906888789334378,2.6943998484561824,14.853515625
567,68.35911456244776,50.220016742964724,12.362313699744082,-2.866500772640581,-2.866500772640581,,3275,3.998778998778999,450.56776556776555,2326,2.8400488400488397,277.6272893772893,2.698578067554138,2.6991220704657426,15.1171875
600,61.27962747979987,57.38435595061131,12.362313699744082,-5.717511750915648,-5.717511750915648,,3204,3.912087912087912,437.6291208791209,2398,2.927960927960928,290.7481684981685,2.698578067554138,2.6991220704657426,13.53515625
633,54.721780450359184,63.01800032372357,12.362313699744082,-9.218466397417636,-9.218466397417636,,3111,3.7985347985347984,420.68131868131866,2481,3.029304029304029,305.87362637362634,2.717377121747269,2.716248075141832,11.162109375
667,49.58942320349766,69.13157913387899,12.540983213741375,-12.717901118658997,-12.717901118658997,,3018,3.684981684981685,403.7335164835165,2549,3.1123321123321124,318.26556776556777,2.7259187405983125,2.722766376684607,8.61328125
700,44.248530386924315,75.0416138406119,20.563629029674416,-16.901354960678248,-16.901354960678248,,2956,3.6092796092796093,392.4349816849817,2594,3.167277167277167,326.4661172161172,2.7279492796538483,2.727704532823848,5.361328125
733,41.4294154310118,78.5535815979966,20.563629029674416,-20.03017042444204,-20.03017042444204,,2881,3.517704517704518,378.76739926739936,2661,3.249084249084249,338.6758241758242,2.7279492796538483,2.727704532823848,2.900390625
767,36.15699542239217,84.58209886606105,20.563629029674416,-23.45264836725898,-23.45264836725898,,2819,3.442002442002442,367.4688644688645,2707,3.305250305250305,347.058608058608,2.7078323178288026,2.7485728795369675,0.087890625
